decade,total_accidents,total_fatalities,crew_fatality_rate
1900,2,2,1.0
1910,31,418,13.483870967741936
1920,182,644,3.5384615384615383
1930,360,2046,5.683333333333334
1940,580,8895,15.336206896551724
1950,652,11845,18.16717791411043
1960,645,16871,26.156589147286823
1970,612,19751,32.27287581699346
1980,553,16860,30.488245931283906
1990,631,15984,25.33122028526149
2000,507,11174,22.039447731755423
2010,238,6447,27.08823529411765
2020,15,533,35.53333333333333
